accession	cancer	sample	title	description
GSE51088	ovarian	172	Ovarian Tumor Samples: mixed reference of 106 pooled ovarian samples vs.  individual patient ovarian sample	The goal of the study was to identify molecular subgroups that might predict clinical outcomes in serous epithelial ovarian cancer (EOC) patients.  A second objective was to identify potential therapeutic targets for serous EOC based on improved understanding of the molecular diversity of the disease.  Ovarian tissues and matched peripheral blood samples were prospectively obtained from sequential patients undergoing planned gynecologic surgery at Cedars-Sinai Medical Center between 1989 and 2005. more...
GSE53031	breast	167	Gene expression profiling of human breast cancer during pregnancy	Using a dataset of 54 pregnant and 113 age/stage-matched non-pregnant breast cancer patients with complete clinical and survival data; we evaluated the pattern of hot spot somatic mutations and performed transcriptomic profiling using Sequenom® and Affymetrix®, respectively. Breast cancer molecular subtypes were defined using PAM50 and 3-Gene classifiers. We performed Gene set enrichment analysis (GSEA) to evaluate pathways associated with diagnosis during pregnancy. more...
GSE48408	breast	164	Long non-coding RNA HOTAIR is an independent prognostic marker of metastasis in estrogen receptor positive primary breast cancer	Expression of HOX transcript antisense intergenic RNA (HOTAIR)—a long intergenic non-coding RNA (lincRNA)—has been examined in a variety of human cancers, and overexpression of HOTAIR is correlated with poor survival among breast, colon, and liver cancer patients. In this retrospective study, we examine HOTAIR expression in 164 primary breast tumors, from patients who do not receive adjuvant treatment, in a design that is paired with respect to the traditional prognostic markers. more...
GSE47861	breast	161	Expression profiling of peripheral blood gene expression of women with hereditary breast cancer and controls (set 2)	We obtained peripheral blood samples for women from Utah (USA) and Ontario (Canada) who had a family history of breast cancer (or did not), who carried a BRCA1/2 mutation (or did not), and who had developed breast cancer (or had not). We classified the women into two groups: [1] those who had a family history of breast cancer (irrespective of BRCA1/2 mutation status) and had developed an early-onset breast tumor and [2] those who had a family history of breast cancer but had not developed a breast tumor or who did not have a family history of breast cancer (some of whom had developed sporadic breast cancer and and others who had not). more...
GSE29174	breast	161	MicroRNA sequence and expression analysis in breast tumors by deep sequencing [mRNA expression array data]	MicroRNAs (miRNAs) regulate many genes critical for tumorigenesis. We profiled miRNAs from 11 normal breast tissues, 17 non-invasive, 151 invasive breast carcinomas, and 6 cell lines by in-house-developed barcoded Solexa sequencing. miRNAs were organized in genomic clusters representing promoter-controlled miRNA expression and sequence families representing seed-sequence-dependent miRNA-target regulation. more...
GSE47860	breast	160	Expression profiling of peripheral blood gene expression of women with hereditary breast cancer and controls (set 1)	We obtained peripheral blood samples for women from Utah (USA) and Ontario (Canada) who had a family history of breast cancer (or did not), who carried a BRCA1/2 mutation (or did not), and who had developed breast cancer (or had not). We classified the women into two groups: [1] those who had a family history of breast cancer (irrespective of BRCA1/2 mutation status) and had developed an early-onset breast tumor and [2] those who had a family history of breast cancer but had not developed a breast tumor or who did not have a family history of breast cancer (some of whom had developed sporadic breast cancer and and others who had not). more...
GSE3143	breast	158	Breast Cancer Dataset	Signatures of Oncogenic Pathway Deregulation in Human Cancers.  The ability to define cancer subtypes, recurrence of disease, and response to specific therapies using DNA microarray-based gene expression signatures has been demonstrated in multiple studies. Such data is also of substantial importance to the analysis of cellular signaling pathways central to the oncogenic process. With this focus, we have developed a series of gene expression signatures that reliably reflect the activation status of several oncogenic pathways. more...
GSE49175	breast	120	Relationship of mammographic density and gene expression: analysis of normal breast tissue surrounding breast cancer	Purpose: Previous studies of breast tissue gene expression have demonstrated that the extratumoral microenvironment has substantial variability across individuals, some of which can be attributed to epidemiologic factors.  To evaluate how mammographic density (MD) and breast tissue composition relate to extratumoral microenvironment gene expression, we used data on 121 breast cancer patients from the population-based Polish Women’s Breast Cancer Study.Design: Breast cancer cases were classified based on a previously reported, biologically-defined extratumoral gene expression signature with two subtypes: an Active subtype, which is associated with high expression of genes related to fibrosis and wound response, and an Inactive subtype, which has high expression of cellular adhesion genes. more...
GSE29917	breast	118	17beta-estradiol (E2)-regulated gene expression across time in estrogen-dependent and estrogen deprivation-resistant MCF-7-derived breast cancer cell lines.	A series of MCF-7 variants were previously developed that are either estrogen-dependent for growth (MCF-7:WS8 cells), or resistant to estrogen deprivation and refractory (MCF-7:2A) or sensitive (MCF-7:5C) to E2-induced apoptosis. To identify genes associated with E2-induced apoptosis, estrogen deprivation-resistant/apoptotic-sensitive 5C cells were compared to both estrogen-dependent MCF-7:WS8 and estrogen deprivation/apoptotic-refractory MCF-7:2A cells
GSE26304	breast	115	Molecular diversity in ductal carcinoma in situ (DCIS) and early invasive breast cancer	Ductal carcinoma in situ (DCIS) is a non-invasive form of breast cancer where cells restricted to the ducts exhibit an atypical phenotype. Some DCIS lesions are believed to rapidly transit to invasive ductal carcinomas (IDCs), while others remain unchanged. Existing classification systems for DCIS fail to identify those lesions that transit to IDC. We studied gene expression patterns of 31 pure DCIS, 36 pure invasive cancers and 42 cases of mixed diagnosis (invasive cancer with an in situ component) using Agilent Whole Human Genome Oligo Microarrays 44k. more...
GSE17260	ovarian	110	Prediction of progression-free survival in patients with advanced-stage serous ovarian cancer	To identify and evaluate the prognostic ability of progression-free survival-related profile for advanced-stage ovarian cancer, advanced-stage serous ovarian cancer tissues from 110 patients who received primary surgery and a platinum/taxane-based chemotherapy were profiled using oligonucleotide microarrays of more than 40,000 transcripts. We first selected 88 genes by a univariate Cox proportional hazard analysis (p<0.01) and next optimized regression coefficients by ridge regression model using 10-fold cross-validation. more...
GSE12665	breast	108	Gene expression profiling of invasive breast cancer events from the tamoxifen prevention trial	Gene expression profiling of invasive breast cancer events from the tamoxifen prevention trial validates low estrogen receptor mRNA level as the main determinant of tamoxifen resistance in estrogen receptor positive breast cancer.  In NSABP Breast Cancer Prevention Trial (BCPT), tamoxifen reduced the incidence of estrogen receptor (ER) positive tumors but not estrogen receptor negative breast cancer. more...
GSE6008	ovarian	103	Human ovarian tumors and normal ovaries	99 individual ovarian tumors (37 endometrioid, 41 serous, 13 mucinous, and 8 clear cell carcinomas) and 4 individual normal ovary samples, each assayed on an Affymetrix HG_U133A array Keywords: Individual tumor comparisons
GSE41986	breast	102	Immune and tumor cell gene expression from node positive and node negative breast cancers' primary tumor, lymph nodes and peripheral blood	Analysis of purified immune and breast tumor cells from three major compartments where cancer and immune cells interact: primary tumor, tumor draining lymph nodes (tumor invaded or tumor free), and peripheral blood.  The results suggests that node-positive patients’ immune regulation and functionality is down-regulated compared to node-negative patients.
GSE63885	ovarian	101	Gene expression profiling in ovarian cancer	The introduction of microarray techniques to cancer research brought great expectations for finding biomarkers that would improve patients’ treatment; however, the results of such studies are poorly reproducible and critical analyses of these methods are rare. In this study, we examined global gene expression in 97 ovarian cancer samples. Also, validation of results by quantitative RT-PCR was performed on 30 additional ovarian cancer samples. more...
GSE49577	ovarian	101	Chemotherapy induced dynamic gene expression changes in vivo are prognostic in ovarian cancer	Carboplatin and paclitaxel are the most widely prescribed chemotherapeutic agents for ovarian cancer. Not all patients respond to treatment, so there is a need for biomarkers that reliably predict resistance in ovarian tumors. Expression of such biomarkers may be dynamically controlled. Gene expression was assessed for a period of 14 days after treatment with carboplatin or combined carboplatin-paclitaxel in xenografts from two ovarian cancer models: chemosensitive serous adenocarcinoma derived OV1002 and slow growing, chemoresistant HOX424 of clear cell origin. more...
GSE36693	breast	101	Protein Tyrosine Phosphatase UBASH3B is Overexpressed in Triple-Negative Breast Cancer and Promotes Invasion and Metastasis	Efforts to improve the clinical outcome of highly aggressive triple-negative breast cancer (TNBC) have been hindered by the lack of effective targeted therapies. Thus, it is important to identify the specific gene targets/pathways driving the invasive phenotype to develop more effective therapeutics. Here we show that ubiquitin-associated and SH3 domain-containing B (UBASH3B), a protein tyrosine phosphatase, is overexpressed in TNBC, where it supports malignant growth, invasion, and metastasis largely through modulating epidermal growth factor receptor (EGFR). more...
GSE46141	breast	91	Expression data from fine-needle aspiration biopsies of breast cancer metastases from different anatomical sites	Breast cancer molecular subtypes preferentially metastasize to specific organs and the anatomical location of the metastasis is associated with the length of survival post-recurrence. We used microarrays to provide a detailed characterization of breast cancer site-specific metastases  with particular focus on identifying genes predictive of breast cancer liver metastatic proprnsity
GSE40206	breast	80	Differential expression of genes and protein networks in the primary breast tumor that proceed to distant metastasis	The presence or absence of lymph node metastasis plays a major role in the prediction of prognosis and subsequent patient management. However, good proportion of patients who display lymph node positivity remain disease free for 3 years or more, after the initial treatment, while a third of those who were lymph node negative at presentation, develop distant metastasis within the same period. We performed gene expression profiling on a cohort Indian breast cancer patients  followed up for a period of 3-5 years and in comparison with a previously published Caucasian cohort data, we identified gene signatures that are associated with distant metastasis. more...
GSE31364	breast	72	A gene expression profile that predicts circulating tumor cell presence in breast cancer patients	Development of a primary tumor gene expression profile that can predict the presence of circulating tumor cells in the blood of breast cancer patients. The detection of circulating tumor cells (CTCs) in the peripheral blood and microarray gene expression profiling of the primary tumor are two promising new technologies able to provide valuable prognostic data for patients with breast cancer. In the current study, we aimed to develop a novel profile which provided independent prognostic data by building a signature predictive of CTC status rather than outcome.
GSE55470	breast	67	Gene expression profiling of circulating tumor cells in breast cancer	CTCs are the purpoted intermediates of metastatic dissemination and are likely to contain cellular clones responsible for disease progression representing a preferred source for identification of druggable targets. Unfortunately a molecular characterization of CTCs is seriously hampered by their low numbers even in metastatic patients and by the elevated contamination of isolated CTCs with leukocytes. more...
GSE29270	breast	63	Molecular Characterization of Breast Carcinoma Associate fibroblasts	Normal breast fibroblasts, breast cancer associated fibroblasts, fibroblasts taken at least 2cm from cancer margins and femur-derived human mesenchymal stem cells were profiled for comparative purposes
GSE15473	ovarian	62	Resistance of primary ovarian cancer cells to oncolytic adenoviruses	This SuperSeries is composed of the SubSeries listed below.
GSE41112	breast	61	Predictors of depression in breast cancer patients during and after radiotherapy: Role of chemotherapy and the inflammatory response	Chemotherapy and the inflammatory response were associated with persistent depressive symptoms in breast cancer patients undergoing radiation. Treatments targeting inflammation before radiation may reduce depression post radiation therapy, especially in patients who have been treated previously with chemotherapy.
GSE37543	breast	60	Subtype-specific response to bevacizumab is reflected in the metabolome and transcriptome of breast cancer xenografts	The VEGF targeted antiangiogenic drug bevacizumab has shown varying results in clinical trials of breast cancer. Identifying robust biomarkers for selecting patients that may benefit from bevacizumab treatment and for monitoring of response is important for the future use of this drug. Two established xenograft models representing basal-like and luminal-like breast cancer were used to study bevacizumab treatment response on the metabolic and gene expression levels. more...
GSE31605	breast	60	Human breast cancer cell lines	This SuperSeries is composed of the SubSeries listed below.
GSE4796	breast	60	Prediction of metastasis from low-malignant breast cancer by gene expression profiling	Promising results for prediction of outcome in breast cancer has been obtained by genome wide gene expression profiling. Some studies have suggested that an extensive overtreatment of breast cancer patients might be reduced by risk assessment with gene expression profiling. A patient group hardly examined in these studies is the low-risk patients who are very difficult to differentiate with currently used methods. more...
GSE31245	ovarian	58	Unique gene expression profile based upon pathologic response in epithelial ovarian cancer	PURPOSE: We investigated whether tumor tissue obtained at diagnosis expresses a specific gene profile that is predictive of findings at second-look surgery in patients with epithelial ovarian cancer (EOC). PATIENTS AND METHODS: Tumor tissue obtained at the time of diagnosis was profiled with oligonucleotide microarrays. Class prediction analysis was performed in a training set of 24 patients who had undergone a second-look procedure. more...
GSE21974	breast	57	Molecular Subtype Predicts Response to Neoadjuvant Chemotherapy in Breast Cancer	In a prospective cohort study of 32 women with primary invasive breast cancer with a measurable lesion, we obtained a tumor specimen by high speed core biopsy before and after 4 cycles of NAC with epirubicine 90mg/m2 and cyclophosphamide 600mg/m2 every 3 weeks, followed by 4 cycles of docetaxel 100mg/m2. Total RNA was extracted from tumor specimens and the whole transcriptome was quantified with Agilent’s 44K single color microarray interrogating 41000 unique human genes. more...
GSE5265	breast	55	TGF-beta on breast cancer cell	To understand the molecular mechanism of action of TGF-beta as a tumor suppressor in breast cancer. Comparison of gene expression between MCF10ACa1h breast tumor xenograft with or without an intact TGF-beta response. Keywords: genetic modification design
GSE55348	breast	53	Gene expression profiling of primary HER2-positive breast cancers treated with adjuvant trastuzumab	Trastuzumab, a humanized monoclonal antibody directed to the HER2 protein, is the standard-of-care treatment for patients with HER2 positive breast cancer, reducing the risk of relapse and death in patients. Nonetheless, some patients relapse after treatment, underscoring the need to identify patients for whom chemotherapy + trastuzumab is adequate versus patients requiring additional drugs. To search for genes predictive of relapse in HER2-positive breast carcinoma patients treated with adjuvant trastuzumab, we conducted gene expression profiling analysis in 53 cases treated in the clinic with doxorubicin/paclitaxel (AT) followed by cyclophosphamide/methotrexate/fluorouracil (CMF) and trastuzumab.
GSE15351	ovarian	52	Resistance of primary ovarian cancer cells to oncolytic adenoviruses part2 of 2	The mechanisms of primary ovarian cancer cells for resistance to viral oncolysis were investigated using Ad5/35.IR.E1A/TRAIL on clonal cultures derived from ovc316m cells. Part 2 of 2, 26 clonal ovc316m cultures additionally to Resistance of primary ovarian cancer cells to oncolytic adenoviruses part1 of 2
GSE41194	breast	50	Differentially Expressed Genes Regulating the Progression of Ductal Carcinoma In Situ to Invasive Breast Cancer (Group 1)	We used gene expression profiling of human DCIS and IBC to discover uniquely expressed genes that may also regulate progression.
GSE28739	ovarian	50	Gene expression patterns of chemoresistant and chemosensitive serous epithelial ovarian tumors with possible predictive value in response to initial chemotherapy	Chemotherapy (CT) resistance in ovarian cancer is broad and encompasses diverse, unrelated drugs, suggesting more than one mechanism of resistance. We aimed to analyze the gene expression patterns in primary serous epithelial ovarian cancer (EOC) samples displaying different responses to first-line CT in an attempt to identify specific molecular signatures associated with response to CT. Initially, the expression profiles of 15 chemoresistant serous EOC tumors [time to recurrence (TTR) ≤6 months] and 10 chemosensitive serous EOC tumors (TTR ≥30 months) were independently analyzed which allowed the identification of specific sets of differentially expressed genes that might be functionally implicated in the evolution of the chemoresistant or the chemosensitive phenotype. more...
GSE15361	breast	50	Molecular profiling of breast cancer cell lines defines relevant tumor models (gene expression)	Summary: Breast cancer cell lines have been used widely to investigate breast cancer pathobiology and new therapies.  Breast cancer is a molecularly heterogeneous disease, and it is important to understand how well and which cell lines best model that diversity.  In particular, microarray studies have identified molecular subtypes (luminal A, luminal B, ERBB2-associated, basal-like and normal-like) with characteristic gene-expression patterns and underlying DNA copy number alterations (CNAs). more...
GSE37126	breast	49	Portrait of early-onset breast cancer in Brazilian patients: germline mutation screening of BRCA1, BRCA2 and TP53 genes and tumor expression profiling	Differentially expressed genes between BRCA1/BRCA2 negative and positive mutation driven-tumors.
GSE32488	breast	48	Expression profiling of formalin-fixed, paraffin-embedded (FFPE) breast cancer metastases of the lymph node and autopsy tissues [DASL HT-12 samples]	We performed an expression profiling study of 168 primary breast tumors, lymph node metastases, and autopsy samples of primary breast tumours and metastases to liver, chest wall, lymph node, lung, and spleen, as well as positive and negative RNA controls, with technical replicates, to assess quality control methodology and probe-level reproducibility of the Illumina DASL microarray assay.  The experiment included both Illumina DASL HumanRef-v3 and DASL HT-12; this series includes only the 48 HT12 samples .
GSE38959	breast	47	Gene expression profiling of triple negative breast cancer, normal ductal cells, and normal tissues	To identify novel molecular targets for triple negative breast cancer (TNBC), we have employed whole genome microarray expression profiling.   We purified 30 surgically resected breast cancer tissue diagnosed triple negative by means of immunohistochemical staining and 13 normal mammary ductal cells with lasermicrobeam microdissection system (PALM MicroBeam, Carl Zeiss MicroImaging Co., Ltd), performed whole human genome microarray, and compared gene expression levels of TNBC, normal mammary ductal cells, and normal vital organs to develop molecular targets with a minimum risk.
GSE20364	breast	46	Breast cancer endothelial interaction	MATERIALS AND METHODS: The genomic effects of tumor-endothelial interactions in cancer are not yet well characterized. To study this interaction in breast cancer, we set up an ex vivo coculture model with human benign and malignant breast epithelial cells with endothelial cells to determine the associated gene expression changes using DNA microarrays. RESULTS: The most prominent response to coculture was the induction of the M-phase cell cycle genes in a subset of breast cancer cocultures that were absent in cocultures with normal breast epithelial cells. more...
GSE14679	breast	46	Breast cancer cells: ER status and fatty acid treatment	Estrogen receptor dependent genomic expression profiles in breast cancer cells in response to fatty acids. Estrogen receptor positive cells respond better to omega 3 treatments.
GSE12071	breast	46	Gene expression variation to predict 10-year survival in lymph-node-negative breast cancer	Expression profiling of breast cancer tumours, comparing 10 year survivors to deceased patients  Background It is of great significance to find better markers to correctly distinguish between high-risk and low-risk breast cancer patients since the majority of breast cancer cases are at present being overtreated.   Methods 46 tumours from node-negative breast cancer patients were studied with gene expression microarrays. more...
GSE45581	breast	45	Expression Analysis of Microdissected Inflammatory Breast Cancer	Inflammatory breast cancer (IBC) is a unique clinical entity characterized by rapid onset of erythema and swelling of the breast often without an obvious breast mass. Many studies have examined and compared gene expression between IBC and non-IBC (nIBC), repeatedly finding clusters associated with receptor subtype, but no consistent gene signature associated with IBC has been validated. Here we examined microdissected IBC tumor cells compared to microdissected nIBC tumor cells matched based on estrogen and HER-2/neu receptor status.
GSE38554	breast	44	Gene expression profiling of FFPE breast cancer samples	We implemented an optimized processing, using alternative Chip Description Files (CDFs) and fRMA normalization, which improve the quality of downstream analysis.
GSE28968	breast	42	MRNA expression data from human breast cancer cell lines after demethylation treatment.	The contribution of aberrant DNA methylation and the downstream effects in tumorogenesis through silencing of tumor suppressor genes (TSGs) and microRNAs has been investigated. Since these epigenetic alterations can be reversed, we investigated the effects of the epigenetic therapy in breast cancer cell lines. We used microarrays to investigate the global gene expression profile after demethylation treatment with 5-aza-2’-deoxycytidine (DAC) in breast cancer cell lines and identified distinct classes of early and late systematic stable or transient effects of the treatment.
GSE51999	breast	41	Phosphatome profiling of estrogen receptor negative breast cancer	Purpose: To characterize the expression of phosphatases in estrogen receptor negative breast cancer Little is known about the role of phosphatases in the major estrogen receptor negative breast cancer phenotypes (i.e. those overexpressing ERBB2 and the triple negative). We carried out microarray phosphatome profiling in 41 estrogen receptor negative (ER-) breast cancer patients (as determined by immunohistochemistry (IHC)) containing both ERBB2+ and ERBB2- in order to characterize the differences between these groups by Statistical Analysis of Microarrays (SAM). more...
GSE34615	ovarian	41	Ovarian cancer cell lines [Baseline profiling]	Analysis of a panel of 41 human ovarian cancer cell lines for the study of ovarian cancer biology, drug response and drug sensitivity.
GSE32063	ovarian	40	Immune-activation as a therapeutic direction for patients with high-risk ovarian cancer based on gene expression signature (2)	Advanced-stage ovarian cancer is one of the most lethal gynecologic malignancies. To improve prognosis of patients with ovarian cancers, a predictive biomarkers leading to personalized treatments are required. In this large-scale cross-platform study of six microarray datasets consisting of 1054 ovarian cancer patients, we developed a novel risk classification system based on a 126-gene expression signature for predicting overall survival by applying elastic net7 and 10-fold cross validation to a Japanese dataset A (n = 260). more...
GSE26805	ovarian	40	Expression of p16 and Retinoblastoma Determines Response to CDK 4/6 Inhibition in Ovarian Cancer: Ovarian cancer cell line expression data.	PD-0332991 is a selective inhibitor of the CDK4/6 kinases with the ability to block retinoblastoma (Rb) phosphorylation in the low nanomolar range. Here we investigate the role of CDK4/6 inhibition in human ovarian cancer.  We examined the effects of PD-0332991 on proliferation, cell-cycle, apoptosis, and Rb phosphorylation using a panel of 40 established human ovarian cancer cell lines. Molecular markers for response prediction, including p16 and Rb, were studied using gene expression profiling, Western blot, and arrayCGH. more...
GSE40785	ovarian	37	Characterization of novel ovarian tumor cell lines that retain the phenotype of primary tumors [Illumina]	The inability to establish stable cell lines from the vast majority of human tumors has limited the use of in vitro models to study human cancer. Currently available tumor cell lines fail to represent the biological diversity of human tumors. We have developed a cell culture medium that enabled us to routinely establish cell lines from diverse subtypes of ovarian tumors. Importantly, the twenty-five ovarian tumor cell lines described here retain the genomic landscape, histopathology, and molecular features of the original tumors. more...
GSE54330	breast	36	Interleukin-6 is a Potential Therapeutic Target in Interleukin-6 Dependent Estrogen Receptor-alpha Positive Breast Cancer [patient tumor tissue]	Interleukin-6 (IL-6) is an important growth factor for estrogen receptor-alpha (ERα) positive breast cancer, and elevated serum IL-6 is associated with poor prognosis. We firstly demonstrated that pSTAT3 is the primary downstream IL-6 signaling pathway in ERα-positive breast cancer, using ten different breast cancer cell lines.  Three-dimensional cultures of these cell lines were also used to develop a 17-gene IL-6 specific gene signature that could be used to identify IL-6 driven disease. more...
GSE55374	breast	36	Molecular changes in lobular breast cancers in response to endocrine therapy	Invasive lobular cancer (ILC) accounts for approximately 10-15% of breast carcinomas and although it responds poorly to neoadjuvant chemotherapy, it appears to respond well to endocrine therapy.   Pre- and on-treatment (after 2 weeks and 3 months) biopsies and surgical samples were obtained from 14 post-menopausal women with ER+ histologically confirmed ILC who responded to 3 months of neoadjuvant letrozole and were compared with a cohort of 14 responding infiltrating ductal carcinomas (IDCs) matched on clinicopathological features by gene expression profiling. more...
GSE48398	breast	36	Gene expression profiles of mammary epithelial and breast cancer cells following fever range hyperthermia	Preclinical and clinical studies have shown for decades that tumor cells demonstrate significantly enhanced sensitivity to “fever range” hyperthermia (increasing the intratumoral temperature to 42-45oC) than normal cells, although it is unknown why cancer cells exhibit this distinctive susceptibility. To address this issue, mammary epithelial cells and three malignant breast cancer lines were subjected to hyperthermic shock and microarray analysis of the global transcription changes was subsequently performed.
GSE18494	breast	36	Expression profiling of hypoxic HepG2 hepatoma, U87 glioma, and MDA-MB231 breast cancer cells: time course	Analysis of expression changes of cultured HepG2 hepatoma, U87 glioma, and MDA-MB231 breast cancer cells subjected to hypoxia (0.5% O2) for 0, 4, 8, 12 hours . Results provide insight to cell type-specific response to hypoxia.
GSE48067	breast	35	The 5p12 breast cancer susceptibility locus affects MRPS30 expression in estrogen-receptor positive tumors	Uninvolved tissue taken at the time of primary surgical resection of an adenocarcinoma. Uninvolved status determined by surgical margin and gross appearance, not pathology
GSE55639	breast	32	Expression profiling of papillary carcinoma of the breast	Expression profiling of papillary carcinoma of the breast and grade- and ER-matched cases of invasive ductal breast cancer To identify differential expression between papillary carcinomas of the breast and grade- and ER-matched invasive ductal breast cancers, we performed expression profiling of 16 cases of papillary carcinomas of the breast and 16 cases of grade- and ER-matched invasive ducatal carcinoma of no special subtype. more...
GSE22386	breast	32	Dynamic changes in gene expression in vivo predict prognosis of tamoxifen-treated patients with breast cancer	Tamoxifen is the most widely prescribed anti-estrogen treatment for patients with ER-positive breast cancer. However, there is still a need for biomarkers that reliably predict endocrine sensitivity in breast cancers and these may well be expressed in a dynamic manner.   In this study we assessed gene expression changes at multiple time points (days 1, 2, 4, 7, 14) after tamoxifen treatment in the ER-positive ZR-75-1 xenograft model that displays significant changes in apoptosis, proliferation and angiogenesis within 2 days of therapy. more...
GSE12072	breast	32	The effects of timing of fine needle aspiration biopsies on gene expression profiles in breast cancers	Paired fine needle aspiration biopsies (FNABs) of breast cancers were taken before (PRE) and after (POST) surgeries from 16 patients and compared the cDNA microarray data to determine the genes that were differentially expressed between the FNABs taken at the two time points. The timing of fine needle aspiration biopsies can be a confounding factor in microarray data analyses in breast cancer. FOS-related genes, which have been implicated in early hypoxia as well as the development of breast cancers, were differentially expressed before and after surgery. more...
GSE50428	breast	31	Expression and differential expression analysis of breast cancer patient samples and normal samples	"Expression and differential expression analysis of breast cancer patient samples and normal samples from breast reduction operations. Fresh frozen tumor biopsies from early breast cancer cases were collected from 920 patients included in the Oslo Micrometastasis (MicMa) Study -- Oslo I from various hospitals between 1995 and 1998 (Naume et al. ""Presence of bone marrow micrometastasis is associated with different recurrence risk within molecular subtypes of breast cancer."" Mol Oncol 2007, 1: 160-171; Wiedswang et al. more..."
